nm	n	k
200.874191	1.794824	0.175801
202.461349	1.790431	0.164356
204.048492	1.78531	0.153422
205.63562	1.779511	0.14303
207.222748	1.773077	0.133209
208.809891	1.766052	0.123987
210.397003	1.758475	0.115393
211.9841	1.750385	0.107456
213.57122800000002	1.741821	0.10021
215.158295	1.732823	0.093691
216.74539199999998	1.723436	0.087938
218.33245799999997	1.71371	0.082991
219.91952500000002	1.703703	0.078895
221.506592	1.693482	0.075694
223.093658	1.683124	0.073427
224.68069500000001	1.67272	0.072131
226.2677	1.662371	0.071834
227.854736	1.652191	0.072551
229.441711	1.642304	0.074284
231.028748	1.632841	0.077013
232.61569200000002	1.623937	0.0807
234.202698	1.615726	0.085279
235.78964200000001	1.608337	0.090662
237.37658699999997	1.601888	0.096736
238.963531	1.59648	0.103365
240.55044600000002	1.592189	0.110392
242.13736	1.589067	0.117647
243.724243	1.587135	0.124951
245.311127	1.586381	0.132122
246.89798000000002	1.586764	0.138982
248.48483299999998	1.588212	0.145366
250.071686	1.590623	0.151122
251.65850799999998	1.593879	0.156121
253.2453	1.59784	0.160261
254.832092	1.602356	0.163463
256.418854	1.607273	0.165676
258.005615	1.612434	0.166877
259.592346	1.617687	0.167065
261.179077	1.622888	0.166263
262.765778	1.627903	0.164515
264.352478	1.632613	0.161878
265.939148	1.636913	0.158425
267.525787	1.640714	0.154236
269.112396	1.643942	0.149401
270.699036	1.64654	0.144011
272.285583	1.648465	0.13816
273.872162	1.649689	0.131941
275.45874	1.650197	0.125445
277.045258	1.649985	0.118757
278.631775	1.649058	0.111958
280.218262	1.647432	0.105123
281.804749	1.645129	0.098318
283.391174	1.642176	0.091604
284.9776	1.638604	0.085033
286.564026	1.63445	0.078651
288.150391	1.629749	0.072494
289.736755	1.624538	0.066595
291.323059	1.618855	0.060976
292.909393	1.612733	0.055656
294.495667	1.606207	0.050648
296.08194	1.599307	0.04596
297.668152	1.592061	0.041596
299.254395	1.584491	0.037556
300.840576	1.576619	0.033839
302.426727	1.568459	0.030442
304.012878	1.560023	0.027361
305.598999	1.551317	0.02459
307.185089	1.542344	0.022126
308.771149	1.533103	0.019968
310.357147	1.523587	0.018114
311.943176	1.513787	0.016569
313.529144	1.503692	0.015338
315.115082	1.493287	0.014434
316.701019	1.482554	0.013871
318.286926	1.471476	0.013672
319.872772	1.460034	0.013866
321.458618	1.448212	0.014486
323.044403	1.435992	0.015575
324.630188	1.423362	0.017181
326.215942	1.410312	0.019362
327.801636	1.396841	0.022181
329.387329	1.382951	0.025709
330.972961	1.368656	0.030024
332.558624	1.353979	0.035209
334.144196	1.338957	0.041353
335.729767	1.32364	0.048548
337.315277	1.308095	0.056888
338.900787	1.292406	0.066464
340.486237	1.276678	0.077365
342.071655	1.261036	0.089671
343.657043	1.245626	0.103451
345.242432	1.230615	0.118754
346.827759	1.21619	0.135608
348.413025	1.202553	0.15401
349.998291	1.189915	0.173921
351.583527	1.178492	0.195265
353.168701	1.168493	0.21792
354.753845	1.160109	0.241723
356.338959	1.153503	0.266469
357.924042	1.148798	0.291922
359.509094	1.146067	0.317822
361.094086	1.145334	0.343898
362.679077	1.146565	0.369884
364.264008	1.149677	0.395528
365.848877	1.15454	0.420607
367.433746	1.16099	0.444936
369.018555	1.168835	0.46837
370.603363	1.17787	0.490811
372.18808	1.187881	0.512204
373.772797	1.198661	0.532543
375.357483	1.210015	0.551859
376.942078	1.221767	0.570225
378.526672	1.233768	0.587742
380.111176	1.245902	0.604542
381.695709	1.258091	0.620775
383.280121	1.270298	0.636601
384.864563	1.282531	0.652184
386.448914	1.294843	0.667679
388.033264	1.307328	0.683225
389.617584	1.320123	0.698929
391.201813	1.333395	0.714861
392.786041	1.347335	0.73104
394.370178	1.362144	0.747433
395.954285	1.378021	0.763947
397.538391	1.395144	0.780433
399.122406	1.413658	0.796688
400.70639	1.433658	0.812463
402.290344	1.455179	0.82748
403.874207	1.478192	0.841443
405.458069	1.50259	0.854056
407.04184	1.528195	0.865037
408.625641	1.55476	0.874144
410.20932	1.581971	0.88118
411.79303	1.609463	0.886019
413.376617	1.636827	0.888614
414.960205	1.663629	0.889014
416.543701	1.689428	0.887373
418.127197	1.713804	0.883961
419.710602	1.736383	0.879168
421.294006	1.756871	0.8735
422.877289	1.775095	0.867573
424.460602	1.791044	0.86209
426.043793	1.804902	0.857797
427.627014	1.817093	0.855437
429.210114	1.828287	0.855665
430.793213	1.8394	0.858969
432.376221	1.85155	0.865567
433.959229	1.865971	0.875329
435.542145	1.883894	0.887717
437.125	1.906399	0.901788
438.707855	1.934275	0.916251
440.290619	1.967896	0.929576
441.873352	2.007173	0.940152
443.455994	2.051552	0.946442
445.038635	2.100071	0.94712
446.621185	2.151462	0.941172
448.203674	2.204258	0.927956
449.786133	2.256917	0.907215
451.3685	2.307914	0.879064
452.950867	2.355836	0.843951
454.533142	2.39944	0.802606
456.115387	2.437711	0.755976
457.697571	2.469879	0.705161
459.279694	2.49544	0.651349
460.861725	2.51415	0.595759
462.443756	2.526011	0.539576
464.025696	2.531247	0.483916
465.607605	2.530272	0.429777
467.18945299999996	2.523653	0.37802
468.77117899999996	2.512072	0.329343
470.35290499999996	2.496283	0.28427
471.93457	2.477074	0.24316
473.51623500000005	2.455232	0.206204
475.09777799999995	2.431512	0.17345
476.67926	2.40661	0.144813
478.26062	2.381148	0.120104
479.84198000000004	2.355655	0.09905
481.42334000000005	2.330566	0.081325
483.00457800000004	2.306223	0.066569
484.58575399999995	2.282876	0.05441
486.16687	2.26069	0.044482
487.747925	2.239764	0.03644
489.328979	2.220136	0.029965
490.909851	2.2018	0.024776
492.49078399999996	2.184713	0.020627
494.071594	2.168812	0.01731
495.652283	2.154018	0.014652
497.233032	2.140245	0.012514
498.81359899999995	2.127408	0.010781
500.39416500000004	2.11542	0.009364
501.974731	2.104202	0.008194
503.555115	2.093679	0.007217
505.135498	2.083785	0.006391
506.71575900000005	2.074459	0.005686
508.296021	2.065648	0.005077
509.87616	2.057304	0.004547
511.45629899999994	2.049387	0.004081
513.036316	2.04186	0.003669
514.616333	2.034689	0.003302
516.196167	2.027848	0.002975
517.776062	2.021311	0.002681
519.355835	2.015055	0.002418
520.935547	2.009061	0.00218
522.515137	2.003311	0.001967
524.094727	1.997789	0.001774
525.674194	1.992479	0.001599
527.253662	1.98737	0.001442
528.833008	1.982449	0.0013
530.412292	1.977705	0.001172
531.991516	1.973128	0.001056
533.570679	1.968709	0.000951
535.14978	1.96444	0.000856
536.72876	1.960312	0.000771
538.307739	1.956318	0.000694
539.886597	1.952452	0.000624
541.465393	1.948707	0.000562
543.044067	1.945077	0.000505
544.622742	1.941557	0.000454
546.201294	1.938141	0.000408
547.779846	1.934826	0.000367
549.358276	1.931605	0.000329
550.936646	1.928476	0.000296
552.514893	1.925435	0.000266
554.09314	1.922476	0.000238
555.671265	1.919598	0.000214
557.249329	1.916796	0.000192
558.827271	1.914068	0.000172
560.405151	1.91141	0.000154
561.983032	1.90882	0.000138
563.560791	1.906295	0.000124
565.138489	1.903833	0.000111
566.716064	1.901431	0.0001
568.293579	1.899086	8.9e-05
569.871033	1.896798	8e-05
571.448425	1.894564	7.2e-05
573.025757	1.892381	6.4e-05
574.602966	1.890248	5.7e-05
576.180054	1.888164	5.1e-05
577.757202	1.886127	4.6e-05
579.334106	1.884134	4.1e-05
580.911011	1.882185	3.7e-05
582.487915	1.880278	3.3e-05
584.064575	1.878412	2.9e-05
585.641296	1.876585	2.6e-05
587.217896	1.874796	2.4e-05
588.794373	1.873044	2.1e-05
590.370789	1.871328	1.9e-05
591.947144	1.869647	1.7e-05
593.523376	1.867999	1.5e-05
595.099548	1.866385	1.3e-05
596.675659	1.864801	1.2e-05
598.251709	1.863249	1.1e-05
599.827637	1.861726	1e-05
601.403442	1.860232	9e-06
602.979248	1.858767	8e-06
604.554932	1.857329	7e-06
606.130493	1.855917	6e-06
607.705994	1.854532	5e-06
609.281433	1.853172	5e-06
610.856812	1.851836	4e-06
612.432007	1.850524	4e-06
614.007202	1.849235	3e-06
615.582336	1.847969	3e-06
617.157349	1.846725	3e-06
618.732239	1.845503	2e-06
620.307007	1.844302	2e-06
621.881775	1.843121	2e-06
623.456421	1.84196	2e-06
625.031006	1.840818	2e-06
626.605469	1.839696	1e-06
628.179871	1.838592	1e-06
629.754211	1.837506	1e-06
631.328369	1.836438	1e-06
632.902466	1.835387	1e-06
634.476563	1.834353	1e-06
636.050476	1.833335	1e-06
637.62439	1.832334	1e-06
639.19812	1.831348	1e-06
640.77179	1.830377	1e-06
642.345337	1.829422	0.0
643.918823	1.828482	0.0
645.492249	1.827556	0.0
647.065552	1.826643	0.0
648.638794	1.825745	0.0
650.211914	1.82486	0.0
651.784912	1.823989	0.0
653.357849	1.82313	0.0
654.930725	1.822285	0.0
656.503479	1.821451	0.0
658.076111	1.82063	0.0
659.648682	1.819821	0.0
661.22113	1.819023	0.0
662.793518	1.818237	0.0
664.365845	1.817462	0.0
665.937988	1.816698	0.0
667.510071	1.815945	0.0
669.082092	1.815202	0.0
670.653931	1.81447	0.0
672.225769	1.813748	0.0
673.797485	1.813036	0.0
675.36908	1.812334	0.0
676.940552	1.811642	0.0
678.512024	1.810959	0.0
680.083313	1.810285	0.0
681.654541	1.80962	0.0
683.225647	1.808965	0.0
684.796631	1.808318	0.0
686.367554	1.80768	0.0
687.938354	1.80705	0.0
689.509094	1.806429	0.0
691.079712	1.805816	0.0
692.650269	1.805211	0.0
694.220642	1.804614	0.0
695.790955	1.804024	0.0
697.361206	1.803443	0.0
698.931274	1.802868	0.0
700.501343	1.802302	0.0
702.071228	1.801742	0.0
703.640991	1.80119	0.0
705.210754	1.800645	0.0
706.780334	1.800106	0.0
708.349854	1.799575	0.0
709.91925	1.79905	0.0
711.488525	1.798532	0.0
713.057739	1.79802	0.0
714.626831	1.797514	0.0
716.19574	1.797015	0.0
717.764648	1.796522	0.0
719.333374	1.796036	0.0
720.902039	1.795555	0.0
722.470581	1.79508	0.0
724.039063	1.794611	0.0
725.607422	1.794148	0.0
727.175659	1.79369	0.0
728.743774	1.793238	0.0
730.311768	1.792792	0.0
731.8797	1.79235	0.0
733.44751	1.791914	0.0
735.015198	1.791484	0.0
736.582825	1.791058	0.0
738.150269	1.790638	0.0
739.717651	1.790223	0.0
741.284912	1.789812	0.0
742.852051	1.789407	0.0
744.419067	1.789006	0.0
745.986023	1.78861	0.0
747.552856	1.788219	0.0
749.119507	1.787832	0.0
750.686157	1.78745	0.0
752.252625	1.787073	0.0
753.81897	1.7867	0.0
755.385254	1.786331	0.0
756.951416	1.785966	0.0
758.517456	1.785606	0.0
760.083374	1.78525	0.0
761.64917	1.784898	0.0
763.214905	1.78455	0.0
764.780457	1.784207	0.0
766.345947	1.783867	0.0
767.911255	1.783531	0.0
769.476501	1.783199	0.0
771.041626	1.782871	0.0
772.606628	1.782546	0.0
774.171509	1.782226	0.0
775.736328	1.781909	0.0
777.300964	1.781595	0.0
778.86554	1.781286	0.0
780.429993	1.780979	0.0
781.994263	1.780677	0.0
783.558472	1.780378	0.0
785.122559	1.780082	0.0
786.686523	1.779789	0.0
788.250305	1.7795	0.0
789.814087	1.779214	0.0
791.377625	1.778932	0.0
792.941101	1.778652	0.0
794.504517	1.778376	0.0
796.067749	1.778103	0.0
797.630859	1.777833	0.0
799.193848	1.777566	0.0
800.756714	1.777302	0.0
802.319519	1.777041	0.0
803.882141	1.776783	0.0
805.444641	1.776528	0.0
807.007019	1.776276	0.0
808.569336	1.776027	0.0
810.131531	1.775781	0.0
811.693542	1.775537	0.0
813.255493	1.775296	0.0
814.8172	1.775058	0.0
816.378906	1.774823	0.0
817.94043	1.77459	0.0
819.501831	1.77436	0.0
821.06311	1.774132	0.0
822.624329	1.773907	0.0
824.185364	1.773685	0.0
825.746216	1.773465	0.0
827.307007	1.773248	0.0
828.867676	1.773033	0.0
830.428223	1.77282	0.0
831.988586	1.772611	0.0
833.54895	1.772403	0.0
835.10907	1.772198	0.0
836.669067	1.771995	0.0
838.229004	1.771794	0.0
839.788757	1.771596	0.0
841.34845	1.7714	0.0
842.907898	1.771206	0.0
844.467285	1.771015	0.0
846.02655	1.770825	0.0
847.585754	1.770638	0.0
849.144714	1.770453	0.0
850.703491	1.77027	0.0
852.262329	1.770089	0.0
853.820923	1.769911	0.0
855.379395	1.769734	0.0
856.937683	1.76956	0.0
858.495972	1.769387	0.0
860.054016	1.769217	0.0
861.612	1.769048	0.0
863.1698	1.768882	0.0
864.727539	1.768717	0.0
866.285034	1.768554	0.0
867.842468	1.768394	0.0
869.39978	1.768235	0.0
870.956909	1.768078	0.0
872.513977	1.767923	0.0
874.070801	1.767769	0.0
875.627563	1.767618	0.0
877.184204	1.767468	0.0
878.740601	1.76732	0.0
880.296997	1.767174	0.0
881.85321	1.76703	0.0
883.409302	1.766887	0.0
884.96521	1.766746	0.0
886.520996	1.766607	0.0
888.07666	1.76647	0.0
889.632202	1.766334	0.0
891.187622	1.7662	0.0
892.742859	1.766067	0.0
894.297974	1.765937	0.0
895.852905	1.765807	0.0
897.407837	1.76568	0.0
898.962524	1.765554	0.0
900.51709	1.765429	0.0
902.071472	1.765306	0.0
903.625793	1.765185	0.0
905.179871	1.765065	0.0
906.733887	1.764947	0.0
908.287781	1.76483	0.0
909.841492	1.764715	0.0
911.39502	1.764601	0.0
912.948547	1.764488	0.0
914.50177	1.764377	0.0
916.054993	1.764268	0.0
917.60791	1.76416	0.0
919.160828	1.764053	0.0
920.713562	1.763948	0.0
922.266113	1.763844	0.0
923.818542	1.763742	0.0
925.370911	1.763641	0.0
926.923035	1.763541	0.0
928.474976	1.763443	0.0
930.026855	1.763346	0.0
931.578613	1.76325	0.0
933.130188	1.763155	0.0
934.681641	1.763062	0.0
936.23291	1.76297	0.0
937.783997	1.76288	0.0
939.334961	1.762791	0.0
940.885864	1.762703	0.0
942.436523	1.762616	0.0
943.987122	1.76253	0.0
945.537476	1.762446	0.0
947.087769	1.762363	0.0
948.637878	1.762281	0.0
950.187805	1.762201	0.0
951.73761	1.762121	0.0
953.287292	1.762043	0.0
965.887024	1.761449	0.0
969.252563	1.761303	0.0
972.618774	1.761162	0.0
975.985535	1.761026	0.0
979.352905	1.760895	0.0
982.720947	1.760768	0.0
986.0894780000001	1.760647	0.0
989.45874	1.76053	0.0
992.828491	1.760417	0.0
996.198975	1.76031	0.0
999.570068	1.760207	0.0
1002.94165	1.760108	0.0
1006.313965	1.760013	0.0
1009.686768	1.759923	0.0
1013.060303	1.759838	0.0
1016.434448	1.759756	0.0
1019.8092039999999	1.759678	0.0
1023.184448	1.759605	0.0
1026.560425	1.759536	0.0
1029.937012	1.75947	0.0
1033.314209	1.759409	0.0
1036.691895	1.759351	0.0
1040.070313	1.759297	0.0
1043.449341	1.759247	0.0
1046.828857	1.7592	0.0
1050.209106	1.759158	0.0
1053.589966	1.759119	0.0
1056.971436	1.759083	0.0
1060.353394	1.759051	0.0
1063.736084	1.759022	0.0
1067.119385	1.758997	0.0
1070.503296	1.758976	0.0
1073.887817	1.758957	0.0
1077.272827	1.758942	0.0
1080.658569	1.758931	0.0
1084.044922	1.758922	0.0
1087.431885	1.758917	0.0
1090.819458	1.758915	0.0
1094.207642	1.758916	0.0
1097.596436	1.75892	0.0
1100.98584	1.758927	0.0
1104.375854	1.758937	0.0
1107.766479	1.75895	0.0
1111.157715	1.758966	0.0
1114.549561	1.758985	0.0
1117.942017	1.759007	0.0
1121.335083	1.759032	0.0
1124.72876	1.75906	0.0
1128.123047	1.75909	0.0
1131.517944	1.759123	0.0
1134.913452	1.759159	0.0
1138.309692	1.759198	0.0
1141.706421	1.759239	0.0
1145.10376	1.759283	0.0
1148.501709	1.759329	0.0
1151.900269	1.759379	0.0
1155.299561	1.75943	0.0
1158.699341	1.759485	0.0
1162.099854	1.759541	0.0
1165.500854	1.759601	0.0
1168.902588	1.759663	0.0
1172.30481	1.759727	0.0
1175.707642	1.759793	0.0
1179.111084	1.759862	0.0
1182.515259	1.759934	0.0
1185.920044	1.760008	0.0
1189.325317	1.760084	0.0
1192.731201	1.760162	0.0
1196.137939	1.760243	0.0
1199.545044	1.760326	0.0
1202.952881	1.760412	0.0
1206.361206	1.760499	0.0
1209.770264	1.760589	0.0
1213.179932	1.760681	0.0
1216.590088	1.760775	0.0
1220.001099	1.760871	0.0
1223.412476	1.760969	0.0
1226.824585	1.76107	0.0
1230.237305	1.761173	0.0
1233.650635	1.761277	0.0
1237.064697	1.761384	0.0
1240.479248	1.761493	0.0
1243.894287	1.761604	0.0
1247.310181	1.761717	0.0
1250.726563	1.761832	0.0
1254.143555	1.761948	0.0
1257.561157	1.762067	0.0
1260.97937	1.762188	0.0
1264.398193	1.762311	0.0
1267.817749	1.762435	0.0
1271.237915	1.762562	0.0
1274.658569	1.76269	0.0
1278.079834	1.762821	0.0
1281.501831	1.762953	0.0
1284.924316	1.763087	0.0
1288.347534	1.763223	0.0
1291.77124	1.763361	0.0
1295.195679	1.7635	0.0
1298.620728	1.763641	0.0
1302.046387	1.763784	0.0
1305.472656	1.763929	0.0
1308.899536	1.764076	0.0
1312.326904	1.764224	0.0
1315.755127	1.764374	0.0
1319.183838	1.764526	0.0
1322.613037	1.76468	0.0
1326.043091	1.764835	0.0
1329.473633	1.764992	0.0
1332.904785	1.765151	0.0
1336.336548	1.765311	0.0
1339.768921	1.765473	0.0
1343.201904	1.765636	0.0
1346.63562	1.765802	0.0
1350.069946	1.765969	0.0
1353.504761	1.766137	0.0
1356.940186	1.766307	0.0
1360.376343	1.766479	0.0
1363.81311	1.766652	0.0
1367.250488	1.766827	0.0
1370.688354	1.767003	0.0
1374.126953	1.767181	0.0
1377.566162	1.767361	0.0
1381.005981	1.767542	0.0
1384.446411	1.767724	0.0
1387.887451	1.767908	0.0
1391.329102	1.768094	0.0
1394.771362	1.768281	0.0
1398.214233	1.768469	0.0
1401.657837	1.76866	0.0
1405.101929	1.768851	0.0
1408.546631	1.769044	0.0
1411.992065	1.769239	0.0
1415.43811	1.769434	0.0
1418.884644	1.769632	0.0
1422.331787	1.769831	0.0
1425.779663	1.770031	0.0
1429.228149	1.770232	0.0
1432.677246	1.770436	0.0
1436.126953	1.77064	0.0
1439.577271	1.770846	0.0
1443.028076	1.771053	0.0
1446.479736	1.771262	0.0
1449.931885	1.771472	0.0
1453.384644	1.771683	0.0
1456.838135	1.771896	0.0
1460.292114	1.77211	0.0
1463.746704	1.772326	0.0
1467.201904	1.772542	0.0
1470.657837	1.77276	0.0
1474.11438	1.77298	0.0
1477.571533	1.773201	0.0
1481.029175	1.773423	0.0
1484.487549	1.773646	0.0
1487.946533	1.773871	0.0
1491.406006	1.774097	0.0
1494.866333	1.774324	0.0
1498.327148	1.774553	0.0
1501.788574	1.774783	0.0
1505.250732	1.775014	0.0
1508.713257	1.775246	0.0
1512.176636	1.77548	0.0
1515.640503	1.775715	0.0
1519.105103	1.775951	0.0
1522.57019	1.776189	0.0
1526.036011	1.776427	0.0
1529.502441	1.776667	0.0
1532.969482	1.776909	0.0
1536.437134	1.777151	0.0
1539.905396	1.777395	0.0
1543.374268	1.777639	0.0
1546.84375	1.777885	0.0
1550.313843	1.778133	0.0
1553.784546	1.778381	0.0
1557.255981	1.778631	0.0
1560.727905	1.778882	0.0
1564.200439	1.779134	0.0
1567.673706	1.779387	0.0
1571.147583	1.779642	0.0
1574.62207	1.779897	0.0
1578.097046	1.780154	0.0
1581.572876	1.780412	0.0
1585.049072	1.780671	0.0
1588.526123	1.780931	0.0
1592.003662	1.781193	0.0
1595.481812	1.781455	0.0
1598.960571	1.781719	0.0
1602.440063	1.781984	0.0
1605.920166	1.78225	0.0
1609.400757	1.782517	0.0
1612.88208	1.782785	0.0
1616.363892	1.783054	0.0
1619.846436	1.783325	0.0
1623.329712	1.783597	0.0
1626.813477	1.783869	0.0
1630.297852	1.784143	0.0
1633.782837	1.784418	0.0
1637.268311	1.784694	0.0
1640.754639	1.784971	0.0
1644.241577	1.785249	0.0
