Opt. Const. of SubNc vs. nm,,,,
nm	"n	 Ordinary"	"k	 Ordinary"	"n	 Extra-ordinary"	"k	 Extra-ordinary"
350.000000	2.249764	0.426481	1.792130	0.102327
351.000000	2.248822	0.410462	1.790668	0.100683
352.000000	2.246866	0.394804	1.789212	0.099060
353.000000	2.243973	0.379598	1.787763	0.097458
354.000000	2.240224	0.364922	1.786318	0.095877
355.000000	2.235709	0.350839	1.784878	0.094317
356.000000	2.230518	0.337399	1.783442	0.092779
357.000000	2.224743	0.324635	1.782010	0.091262
358.000000	2.218474	0.312571	1.780582	0.089766
359.000000	2.211799	0.301217	1.779156	0.088291
360.000000	2.204801	0.290571	1.777733	0.086838
361.000000	2.197558	0.280625	1.776312	0.085405
362.000000	2.190142	0.271360	1.774893	0.083994
363.000000	2.182619	0.262751	1.773476	0.082603
364.000000	2.175046	0.254768	1.772061	0.081233
365.000000	2.167474	0.247377	1.770647	0.079884
366.000000	2.159948	0.240540	1.769234	0.078556
367.000000	2.152503	0.234219	1.767822	0.077248
368.000000	2.145170	0.228372	1.766412	0.075960
369.000000	2.137972	0.222960	1.765002	0.074693
370.000000	2.130927	0.217944	1.763593	0.073445
371.000000	2.124048	0.213286	1.762184	0.072218
372.000000	2.117343	0.208949	1.760776	0.071011
373.000000	2.110817	0.204898	1.759368	0.069824
374.000000	2.104469	0.201104	1.757961	0.068656
375.000000	2.098297	0.197535	1.756554	0.067508
376.000000	2.092297	0.194167	1.755147	0.066379
377.000000	2.086461	0.190974	1.753741	0.065270
378.000000	2.080782	0.187935	1.752334	0.064180
379.000000	2.075249	0.185031	1.750928	0.063109
380.000000	2.069853	0.182246	1.749521	0.062057
381.000000	2.064580	0.179564	1.748114	0.061025
382.000000	2.059420	0.176974	1.746708	0.060011
383.000000	2.054360	0.174465	1.745301	0.059016
384.000000	2.049384	0.172028	1.743894	0.058039
385.000000	2.044480	0.169656	1.742488	0.057081
386.000000	2.039629	0.167345	1.741081	0.056142
387.000000	2.034815	0.165095	1.739673	0.055221
388.000000	2.030017	0.162907	1.738266	0.054319
389.000000	2.025214	0.160791	1.736859	0.053434
390.000000	2.020386	0.158762	1.735451	0.052568
391.000000	2.015511	0.156848	1.734043	0.051721
392.000000	2.010575	0.155085	1.732635	0.050891
393.000000	2.005575	0.153526	1.731228	0.050080
394.000000	2.000526	0.152229	1.729819	0.049286
395.000000	1.995468	0.151262	1.728411	0.048511
396.000000	1.990470	0.150684	1.727003	0.047753
397.000000	1.985636	0.150539	1.725595	0.047014
398.000000	1.981097	0.150837	1.724187	0.046292
399.000000	1.977002	0.151539	1.722780	0.045589
400.000000	1.973496	0.152548	1.721372	0.044903
401.000000	1.970696	0.153709	1.719965	0.044235
402.000000	1.968668	0.154817	1.718558	0.043585
403.000000	1.967404	0.155639	1.717152	0.042952
404.000000	1.966814	0.155947	1.715746	0.042338
405.000000	1.966728	0.155549	1.714341	0.041741
406.000000	1.966919	0.154317	1.712937	0.041162
407.000000	1.967125	0.152207	1.711534	0.040601
408.000000	1.967091	0.149265	1.710132	0.040058
409.000000	1.966596	0.145613	1.708730	0.039532
410.000000	1.965477	0.141432	1.707331	0.039024
411.000000	1.963645	0.136935	1.705932	0.038533
412.000000	1.961083	0.132333	1.704536	0.038060
413.000000	1.957838	0.127819	1.703141	0.037605
414.000000	1.954006	0.123543	1.701748	0.037167
415.000000	1.949709	0.119607	1.700357	0.036747
416.000000	1.945075	0.116067	1.698969	0.036344
417.000000	1.940228	0.112933	1.697583	0.035959
418.000000	1.935271	0.110185	1.696200	0.035591
419.000000	1.930283	0.107780	1.694820	0.035240
420.000000	1.925318	0.105667	1.693443	0.034906
421.000000	1.920408	0.103790	1.692069	0.034590
422.000000	1.915565	0.102100	1.690699	0.034290
423.000000	1.910789	0.100555	1.689332	0.034008
424.000000	1.906072	0.099122	1.687970	0.033742
425.000000	1.901398	0.097776	1.686612	0.033492
426.000000	1.896753	0.096502	1.685259	0.033260
427.000000	1.892119	0.095291	1.683910	0.033043
428.000000	1.887482	0.094137	1.682566	0.032843
429.000000	1.882829	0.093041	1.681227	0.032659
430.000000	1.878147	0.092005	1.679894	0.032490
431.000000	1.873427	0.091036	1.678566	0.032337
432.000000	1.868661	0.090138	1.677244	0.032200
433.000000	1.863841	0.089322	1.675929	0.032078
434.000000	1.858964	0.088597	1.674619	0.031971
435.000000	1.854026	0.087973	1.673316	0.031878
436.000000	1.849026	0.087463	1.672020	0.031800
437.000000	1.843964	0.087078	1.670731	0.031736
438.000000	1.838842	0.086833	1.669449	0.031686
439.000000	1.833665	0.086741	1.668174	0.031650
440.000000	1.828439	0.086816	1.666907	0.031627
441.000000	1.823173	0.087072	1.665647	0.031617
442.000000	1.817878	0.087523	1.664396	0.031620
443.000000	1.812570	0.088181	1.663152	0.031635
444.000000	1.807264	0.089059	1.661916	0.031662
445.000000	1.801978	0.090167	1.660689	0.031700
446.000000	1.796736	0.091513	1.659470	0.031750
447.000000	1.791561	0.093103	1.658259	0.031811
448.000000	1.786478	0.094941	1.657057	0.031882
449.000000	1.781515	0.097026	1.655863	0.031963
450.000000	1.776701	0.099354	1.654679	0.032054
451.000000	1.772064	0.101918	1.653503	0.032154
452.000000	1.767636	0.104705	1.652335	0.032263
453.000000	1.763444	0.107699	1.651177	0.032380
454.000000	1.759516	0.110879	1.650027	0.032505
455.000000	1.755879	0.114219	1.648885	0.032637
456.000000	1.752555	0.117691	1.647753	0.032777
457.000000	1.749565	0.121261	1.646629	0.032923
458.000000	1.746923	0.124891	1.645514	0.033076
459.000000	1.744641	0.128543	1.644406	0.033234
460.000000	1.742726	0.132175	1.643307	0.033397
461.000000	1.741177	0.135744	1.642217	0.033565
462.000000	1.739990	0.139206	1.641134	0.033738
463.000000	1.739154	0.142517	1.640059	0.033914
464.000000	1.738652	0.145636	1.638991	0.034094
465.000000	1.738462	0.148523	1.637931	0.034276
466.000000	1.738557	0.151141	1.636878	0.034462
467.000000	1.738904	0.153455	1.635831	0.034649
468.000000	1.739469	0.155437	1.634791	0.034838
469.000000	1.740211	0.157061	1.633757	0.035028
470.000000	1.741088	0.158308	1.632729	0.035219
471.000000	1.742057	0.159164	1.631706	0.035410
472.000000	1.743073	0.159620	1.630689	0.035601
473.000000	1.744089	0.159673	1.629676	0.035791
474.000000	1.745061	0.159323	1.628667	0.035981
475.000000	1.745944	0.158580	1.627662	0.036169
476.000000	1.746697	0.157453	1.626660	0.036356
477.000000	1.747280	0.155961	1.625661	0.036540
478.000000	1.747654	0.154123	1.624664	0.036722
479.000000	1.747785	0.151963	1.623669	0.036902
480.000000	1.747644	0.149509	1.622675	0.037078
481.000000	1.747202	0.146790	1.621681	0.037250
482.000000	1.746436	0.143837	1.620687	0.037419
483.000000	1.745327	0.140685	1.619693	0.037584
484.000000	1.743858	0.137365	1.618697	0.037744
485.000000	1.742020	0.133914	1.617698	0.037900
486.000000	1.739802	0.130366	1.616697	0.038051
487.000000	1.737201	0.126755	1.615692	0.038197
488.000000	1.734216	0.123113	1.614683	0.038337
489.000000	1.730849	0.119475	1.613668	0.038472
490.000000	1.727104	0.115869	1.612647	0.038601
491.000000	1.722989	0.112327	1.611619	0.038724
492.000000	1.718514	0.108875	1.610583	0.038841
493.000000	1.713690	0.105540	1.609538	0.038952
494.000000	1.708532	0.102344	1.608483	0.039057
495.000000	1.703053	0.099310	1.607418	0.039155
496.000000	1.697269	0.096457	1.606340	0.039247
497.000000	1.691199	0.093801	1.605249	0.039333
498.000000	1.684858	0.091360	1.604144	0.039413
499.000000	1.678265	0.089144	1.603023	0.039486
500.000000	1.671437	0.087167	1.601886	0.039554
501.000000	1.664392	0.085437	1.600730	0.039616
502.000000	1.657149	0.083962	1.599556	0.039672
503.000000	1.649724	0.082748	1.598360	0.039723
504.000000	1.642133	0.081799	1.597143	0.039769
505.000000	1.634393	0.081120	1.595903	0.039810
506.000000	1.626520	0.080711	1.594637	0.039848
507.000000	1.618528	0.080576	1.593345	0.039882
508.000000	1.610430	0.080712	1.592025	0.039913
509.000000	1.602241	0.081121	1.590675	0.039943
510.000000	1.593971	0.081801	1.589293	0.039971
511.000000	1.585634	0.082751	1.587879	0.039999
512.000000	1.577239	0.083968	1.586430	0.040028
513.000000	1.568796	0.085451	1.584944	0.040059
514.000000	1.560315	0.087197	1.583420	0.040094
515.000000	1.551805	0.089203	1.581856	0.040133
516.000000	1.543273	0.091466	1.580250	0.040179
517.000000	1.534727	0.093985	1.578600	0.040234
518.000000	1.526173	0.096757	1.576905	0.040298
519.000000	1.517620	0.099779	1.575163	0.040375
520.000000	1.509072	0.103048	1.573371	0.040466
521.000000	1.500536	0.106563	1.571528	0.040575
522.000000	1.492018	0.110321	1.569634	0.040703
523.000000	1.483522	0.114321	1.567685	0.040854
524.000000	1.475054	0.118559	1.565680	0.041031
525.000000	1.466620	0.123036	1.563619	0.041236
526.000000	1.458224	0.127748	1.561499	0.041474
527.000000	1.449871	0.132694	1.559319	0.041748
528.000000	1.441566	0.137873	1.557080	0.042062
529.000000	1.433314	0.143282	1.554779	0.042421
530.000000	1.425120	0.148921	1.552416	0.042827
531.000000	1.416988	0.154788	1.549991	0.043287
532.000000	1.408923	0.160881	1.547503	0.043805
533.000000	1.400930	0.167199	1.544953	0.044385
534.000000	1.393014	0.173740	1.542342	0.045032
535.000000	1.385178	0.180502	1.539669	0.045753
536.000000	1.377428	0.187484	1.536937	0.046552
537.000000	1.369769	0.194684	1.534145	0.047436
538.000000	1.362203	0.202099	1.531297	0.048408
539.000000	1.354737	0.209729	1.528395	0.049476
540.000000	1.347373	0.217570	1.525441	0.050645
541.000000	1.340116	0.225622	1.522439	0.051920
542.000000	1.332970	0.233882	1.519392	0.053308
543.000000	1.325938	0.242348	1.516304	0.054814
544.000000	1.319025	0.251018	1.513180	0.056444
545.000000	1.312233	0.259890	1.510025	0.058204
546.000000	1.305566	0.268964	1.506846	0.060098
547.000000	1.299027	0.278236	1.503647	0.062131
548.000000	1.292619	0.287706	1.500436	0.064309
549.000000	1.286346	0.297372	1.497221	0.066636
550.000000	1.280211	0.307233	1.494008	0.069116
551.000000	1.274216	0.317289	1.490807	0.071753
552.000000	1.268364	0.327539	1.487626	0.074550
553.000000	1.262659	0.337982	1.484475	0.077508
554.000000	1.257105	0.348619	1.481362	0.080632
555.000000	1.251704	0.359449	1.478299	0.083921
556.000000	1.246462	0.370474	1.475295	0.087377
557.000000	1.241380	0.381694	1.472362	0.090998
558.000000	1.236466	0.393110	1.469510	0.094786
559.000000	1.231723	0.404723	1.466751	0.098736
560.000000	1.227157	0.416534	1.464095	0.102848
561.000000	1.222775	0.428545	1.461554	0.107116
562.000000	1.218583	0.440757	1.459140	0.111538
563.000000	1.214589	0.453171	1.456862	0.116106
564.000000	1.210801	0.465787	1.454733	0.120815
565.000000	1.207229	0.478607	1.452762	0.125658
566.000000	1.203881	0.491631	1.450959	0.130625
567.000000	1.200768	0.504858	1.449335	0.135707
568.000000	1.197902	0.518287	1.447897	0.140894
569.000000	1.195294	0.531917	1.446654	0.146176
570.000000	1.192956	0.545745	1.445614	0.151539
571.000000	1.190903	0.559766	1.444782	0.156971
572.000000	1.189146	0.573977	1.444164	0.162459
573.000000	1.187700	0.588371	1.443765	0.167989
574.000000	1.186578	0.602941	1.443587	0.173547
575.000000	1.185794	0.617678	1.443633	0.179117
576.000000	1.185363	0.632573	1.443904	0.184684
577.000000	1.185297	0.647614	1.444398	0.190233
578.000000	1.185609	0.662788	1.445114	0.195750
579.000000	1.186313	0.678081	1.446050	0.201217
580.000000	1.187420	0.693477	1.447199	0.206622
581.000000	1.188941	0.708960	1.448557	0.211948
582.000000	1.190885	0.724511	1.450117	0.217182
583.000000	1.193262	0.740112	1.451870	0.222310
584.000000	1.196078	0.755741	1.453806	0.227318
585.000000	1.199340	0.771379	1.455915	0.232196
586.000000	1.203052	0.787002	1.458185	0.236931
587.000000	1.207216	0.802589	1.460603	0.241513
588.000000	1.211834	0.818116	1.463156	0.245934
589.000000	1.216906	0.833560	1.465828	0.250184
590.000000	1.222428	0.848897	1.468606	0.254259
591.000000	1.228398	0.864104	1.471472	0.258151
592.000000	1.234809	0.879157	1.474410	0.261858
593.000000	1.241654	0.894033	1.477405	0.265377
594.000000	1.248924	0.908708	1.480438	0.268706
595.000000	1.256607	0.923162	1.483492	0.271847
596.000000	1.264692	0.937371	1.486551	0.274802
597.000000	1.273164	0.951314	1.489596	0.277574
598.000000	1.282007	0.964972	1.492613	0.280169
599.000000	1.291205	0.978324	1.495584	0.282593
600.000000	1.300739	0.991353	1.498492	0.284855
601.000000	1.310589	1.004042	1.501324	0.286965
602.000000	1.320733	1.016374	1.504066	0.288934
603.000000	1.331150	1.028334	1.506702	0.290776
604.000000	1.341816	1.039911	1.509223	0.292505
605.000000	1.352705	1.051091	1.511616	0.294136
606.000000	1.363792	1.061864	1.513873	0.295687
607.000000	1.375050	1.072222	1.515985	0.297174
608.000000	1.386451	1.082157	1.517947	0.298619
609.000000	1.397967	1.091666	1.519755	0.300039
610.000000	1.409567	1.100743	1.521406	0.301456
611.000000	1.421223	1.109389	1.522901	0.302890
612.000000	1.432904	1.117603	1.524242	0.304363
613.000000	1.444577	1.125390	1.525432	0.305896
614.000000	1.456212	1.132753	1.526480	0.307509
615.000000	1.467777	1.139701	1.527394	0.309225
616.000000	1.479240	1.146243	1.528186	0.311062
617.000000	1.490568	1.152393	1.528871	0.313039
618.000000	1.501730	1.158166	1.529464	0.315173
619.000000	1.512695	1.163579	1.529984	0.317482
620.000000	1.523431	1.168655	1.530453	0.319978
621.000000	1.533909	1.173417	1.530892	0.322673
622.000000	1.544100	1.177892	1.531327	0.325576
623.000000	1.553976	1.182110	1.531784	0.328695
624.000000	1.563512	1.186105	1.532289	0.332031
625.000000	1.572682	1.189913	1.532871	0.335585
626.000000	1.581467	1.193575	1.533558	0.339353
627.000000	1.589847	1.197133	1.534379	0.343329
628.000000	1.597806	1.200632	1.535360	0.347500
629.000000	1.605334	1.204122	1.536529	0.351853
630.000000	1.612421	1.207654	1.537912	0.356369
631.000000	1.619064	1.211282	1.539530	0.361025
632.000000	1.625266	1.215060	1.541404	0.365798
633.000000	1.631033	1.219048	1.543553	0.370658
634.000000	1.636378	1.223303	1.545989	0.375574
635.000000	1.641320	1.227883	1.548721	0.380513
636.000000	1.645884	1.232849	1.551756	0.385440
637.000000	1.650104	1.238256	1.555093	0.390318
638.000000	1.654017	1.244162	1.558727	0.395110
639.000000	1.657671	1.250619	1.562648	0.399779
640.000000	1.661118	1.257677	1.566841	0.404289
641.000000	1.664416	1.265379	1.571283	0.408605
642.000000	1.667632	1.273766	1.575950	0.412695
643.000000	1.670836	1.282867	1.580807	0.416529
644.000000	1.674102	1.292709	1.585819	0.420081
645.000000	1.677509	1.303308	1.590942	0.423332
646.000000	1.681136	1.314669	1.596131	0.426265
647.000000	1.685065	1.326791	1.601334	0.428872
648.000000	1.689375	1.339662	1.606498	0.431150
649.000000	1.694144	1.353262	1.611565	0.433106
650.000000	1.699445	1.367561	1.616477	0.434755
651.000000	1.705347	1.382522	1.621176	0.436122
652.000000	1.711910	1.398101	1.625602	0.437240
653.000000	1.719187	1.414251	1.629700	0.438157
654.000000	1.727224	1.430918	1.633416	0.438928
655.000000	1.736055	1.448052	1.636703	0.439623
656.000000	1.745710	1.465599	1.639521	0.440321
657.000000	1.756206	1.483512	1.641841	0.441115
658.000000	1.767557	1.501747	1.643644	0.442106
659.000000	1.779768	1.520267	1.644930	0.443407
660.000000	1.792844	1.539043	1.645713	0.445138
661.000000	1.806787	1.558057	1.646029	0.447425
662.000000	1.821604	1.577299	1.645937	0.450397
663.000000	1.837305	1.596769	1.645524	0.454182
664.000000	1.853910	1.616477	1.644900	0.458902
665.000000	1.871449	1.636436	1.644205	0.464667
666.000000	1.889969	1.656666	1.643609	0.471571
667.000000	1.909530	1.677187	1.643307	0.479682
668.000000	1.930215	1.698015	1.643517	0.489040
669.000000	1.952123	1.719157	1.644476	0.499645
670.000000	1.975373	1.740608	1.646432	0.511453
671.000000	2.000100	1.762342	1.649636	0.524373
672.000000	2.026456	1.784310	1.654332	0.538266
673.000000	2.054601	1.806434	1.660743	0.552941
674.000000	2.084700	1.828604	1.669063	0.568162
675.000000	2.116915	1.850672	1.679445	0.583651
676.000000	2.151402	1.872455	1.691994	0.599104
677.000000	2.188297	1.893734	1.706758	0.614192
678.000000	2.227712	1.914254	1.723729	0.628582
679.000000	2.269729	1.933731	1.742841	0.641943
680.000000	2.314389	1.951851	1.763971	0.653961
681.000000	2.361692	1.968287	1.786948	0.664345
682.000000	2.411588	1.982696	1.811560	0.672841
683.000000	2.463978	1.994732	1.837557	0.679229
684.000000	2.518712	2.004056	1.864664	0.683338
685.000000	2.575591	2.010340	1.892591	0.685035
686.000000	2.634366	2.013279	1.921033	0.684238
687.000000	2.694745	2.012597	1.949686	0.680906
688.000000	2.756397	2.008052	1.978248	0.675040
689.000000	2.818955	1.999444	2.006427	0.666682
690.000000	2.882028	1.986618	2.033945	0.655911
691.000000	2.945202	1.969469	2.060543	0.642835
692.000000	3.008051	1.947941	2.085984	0.627595
693.000000	3.070140	1.922033	2.110054	0.610352
694.000000	3.131040	1.891795	2.132567	0.591293
695.000000	3.190326	1.857328	2.153364	0.570615
696.000000	3.247591	1.818781	2.172313	0.548532
697.000000	3.302446	1.776353	2.189314	0.525265
698.000000	3.354532	1.730283	2.204293	0.501037
699.000000	3.403519	1.680848	2.217205	0.476075
700.000000	3.449114	1.628360	2.228032	0.450603
701.000000	3.491064	1.573160	2.236782	0.424837
702.000000	3.529156	1.515611	2.243486	0.398987
703.000000	3.563223	1.456092	2.248198	0.373250
704.000000	3.593142	1.394996	2.250991	0.347812
705.000000	3.618834	1.332718	2.251955	0.322843
706.000000	3.640267	1.269655	2.251196	0.298495
707.000000	3.657451	1.206199	2.248833	0.274906
708.000000	3.670437	1.142731	2.244992	0.252193
709.000000	3.679317	1.079615	2.239811	0.230455
710.000000	3.684216	1.017197	2.233427	0.209773
711.000000	3.685295	0.955801	2.225984	0.190209
712.000000	3.682741	0.895722	2.217624	0.171807
713.000000	3.676768	0.837228	2.208487	0.154595
714.000000	3.667609	0.780557	2.198709	0.138585
715.000000	3.655514	0.725913	2.188421	0.123773
716.000000	3.640745	0.673469	2.177747	0.110143
717.000000	3.623571	0.623364	2.166803	0.097666
718.000000	3.604265	0.575705	2.155693	0.086304
719.000000	3.583099	0.530569	2.144515	0.076011
720.000000	3.560342	0.487999	2.133355	0.066733
721.000000	3.536255	0.448014	2.122287	0.058412
722.000000	3.511089	0.410605	2.111378	0.050984
723.000000	3.485082	0.375738	2.100682	0.044385
724.000000	3.458459	0.343359	2.090245	0.038550
725.000000	3.431426	0.313397	2.080103	0.033413
726.000000	3.404171	0.285763	2.070282	0.028910
727.000000	3.376868	0.260356	2.060805	0.024979
728.000000	3.349667	0.237066	2.051682	0.021561
729.000000	3.322703	0.215775	2.042922	0.018600
730.000000	3.296089	0.196360	2.034526	0.016044
731.000000	3.269924	0.178696	2.026491	0.013844
732.000000	3.244288	0.162657	2.018811	0.011956
733.000000	3.219245	0.148119	2.011477	0.010341
734.000000	3.194845	0.134961	2.004478	0.008962
