Opt. Const. of VOPc vs. nm,,
nm	n	k
334.450165	0.392608	1.429758
336.03537	0.474175	1.38435
337.620636	0.567435	1.386583
339.205933	0.699608	1.392592
340.791321	0.831363	1.371404
342.376709	0.937702	1.351244
343.962189	1.04067	1.347059
345.547699	1.149971	1.340274
347.13324	1.252164	1.324553
348.718872	1.344164	1.309716
350.304535	1.433811	1.297225
351.890259	1.522192	1.281007
353.476013	1.605202	1.260155
355.061829	1.682229	1.237408
356.647675	1.754801	1.213516
358.233582	1.823441	1.18801
359.81955	1.888074	1.160968
361.405548	1.949058	1.132771
362.991577	2.00701	1.103264
364.577698	2.061923	1.071954
366.163818	2.113344	1.038857
367.749969	2.161164	1.004403
369.336212	2.205498	0.968937
370.922485	2.246587	0.932751
372.508789	2.284829	0.89592
374.095154	2.320364	0.858205
375.681519	2.352947	0.819564
377.267975	2.382533	0.780436
378.854431	2.409663	0.741077
380.440979	2.43477	0.700874
382.027527	2.457297	0.659163
383.614105	2.476284	0.616289
385.200745	2.49161	0.573089
386.787445	2.503673	0.529932
388.374146	2.512573	0.486714
389.960907	2.517992	0.44348
391.547699	2.519665	0.400729
393.134552	2.517599	0.35901
394.721405	2.511946	0.318922
396.308289	2.50317	0.28108
397.895264	2.492179	0.245641
399.482239	2.479384	0.212034
401.069244	2.464344	0.179859
402.656311	2.446466	0.149814
404.243378	2.426121	0.122976
405.830505	2.404501	0.099811
407.417664	2.382441	0.079933
409.004822	2.360325	0.062943
410.592041	2.338374	0.048592
412.179291	2.316831	0.036699
413.766541	2.295977	0.027031
415.353912	2.275998	0.019245
416.941223	2.25692	0.012998
418.528625	2.238637	0.008119
420.116028	2.221164	0.004577
421.703461	2.204638	0.002318
423.290924	2.189226	0.001148
424.878418	2.175002	0.000831
426.465912	2.161989	0.001129
428.053467	2.150172	0.001811
429.641052	2.139507	0.002651
431.228668	2.129921	0.003399
432.816315	2.121247	0.003773
434.403961	2.113137	0.003509
435.991638	2.105033	0.00267
437.579346	2.096676	0.001656
439.167084	2.088127	0.000858
440.754822	2.079682	0.000397
442.342621	2.071485	0.000167
443.93042	2.063561	6e-05
445.51825	2.055873	1.3e-05
447.10611	2.048391	0.0
448.694	2.041088	0.0
450.281891	2.033931	-0.0
451.869812	2.026895	0.0
453.457764	2.01996	-0.0
455.045715	2.013111	0.0
456.633698	2.006333	0.0
458.22168	1.999614	-0.0
459.809723	1.992941	0.0
461.397766	1.986304	0.0
462.98584	1.979692	0.0
464.573883	1.973094	0.0
466.162018	1.9665	0.0
467.750092	1.9599	0.0
469.338226	1.953283	-0.0
470.926361	1.94664	0.0
472.514557	1.939957	0.0
474.102722	1.933224	0.0
475.690918	1.926425	0.0
477.279144	1.919544	0.0
478.86734	1.912558	0.0
480.455566	1.905429	4e-06
482.043854	1.898108	5.5e-05
483.632141	1.890585	0.00022
485.220367	1.882879	0.000563
486.808685	1.875049	0.00113
488.396973	1.86715	0.001918
489.985291	1.859218	0.002916
491.573578	1.851282	0.00411
493.161957	1.843377	0.005474
494.750305	1.835515	0.006958
496.338623	1.82768	0.008516
497.927002	1.819825	0.010108
499.515381	1.811879	0.011755
501.10376	1.803821	0.013511
502.692139	1.795662	0.015428
504.280518	1.787459	0.017547
505.868958	1.779281	0.01983
507.457336	1.771141	0.022212
509.045746	1.763011	0.024631
510.634186	1.75481	0.027043
512.222595	1.74645	0.029497
513.811035	1.737904	0.032068
515.399475	1.729181	0.034827
516.987915	1.72034	0.037832
518.576355	1.711454	0.04107
520.164795	1.702546	0.044502
521.753296	1.693619	0.048093
523.341675	1.684649	0.051812
524.930176	1.675595	0.055666
526.518677	1.666443	0.059678
528.107056	1.657189	0.063874
529.695557	1.647847	0.068277
531.283997	1.638443	0.072886
532.872437	1.628984	0.077686
534.460938	1.619466	0.082658
536.049377	1.609866	0.087785
537.637817	1.600139	0.093069
539.226257	1.590252	0.098545
540.814758	1.580191	0.104256
542.403198	1.569957	0.110241
543.991638	1.559561	0.116541
545.580078	1.549022	0.123182
547.168518	1.538357	0.130186
548.756958	1.527582	0.137573
550.345337	1.516712	0.145364
551.933777	1.505766	0.15358
553.522217	1.494764	0.162244
555.110657	1.483733	0.171376
556.699036	1.472704	0.180999
558.287476	1.461722	0.191129
559.875854	1.450845	0.201762
561.464233	1.440111	0.212862
563.052612	1.429535	0.224395
564.640991	1.419116	0.236331
566.229309	1.408832	0.248643
567.817688	1.398638	0.261344
569.406006	1.388522	0.274477
570.994324	1.378495	0.288085
572.582642	1.368577	0.302204
574.170959	1.358803	0.316868
575.759216	1.349214	0.332099
577.347534	1.339851	0.347913
578.935791	1.330755	0.364322
580.524048	1.321971	0.381332
582.112305	1.313538	0.39895
583.700562	1.305497	0.417189
585.288757	1.297907	0.436067
586.876953	1.290842	0.455592
588.465149	1.284388	0.47576
590.053345	1.278649	0.49655
591.641479	1.273757	0.517892
593.229614	1.269787	0.539645
594.817749	1.266754	0.561674
596.405823	1.264639	0.583857
597.993958	1.26339	0.606095
599.58197	1.262914	0.628315
601.170044	1.263126	0.650538
602.758057	1.264008	0.6728
604.346069	1.265574	0.695118
605.934082	1.267858	0.717498
607.522095	1.27091	0.739929
609.109985	1.274809	0.762348
610.697937	1.279572	0.784632
612.285828	1.285162	0.806681
613.873718	1.291522	0.828414
615.461609	1.298574	0.849774
617.049438	1.306223	0.870722
618.637268	1.314362	0.891287
620.225037	1.322951	0.911532
621.812866	1.331981	0.9315
623.400574	1.341459	0.951221
624.988342	1.351404	0.970718
626.57605	1.361849	0.989997
628.163696	1.37283	1.009035
629.751343	1.384358	1.027797
631.338989	1.396435	1.046253
632.926575	1.409062	1.064374
634.514099	1.42224	1.082136
636.101685	1.435981	1.099508
637.689148	1.450296	1.116437
639.276672	1.465166	1.132856
640.864136	1.480555	1.148713
642.451538	1.496425	1.163969
644.03894	1.512736	1.178587
645.626343	1.529453	1.192539
647.213623	1.546546	1.205781
648.800903	1.563962	1.218255
650.388184	1.581622	1.229916
651.975464	1.599441	1.240738
653.562622	1.617321	1.250705
655.14978	1.635157	1.259817
656.736938	1.652824	1.268098
658.324097	1.670202	1.275644
659.911133	1.687247	1.282569
661.498169	1.703947	1.288962
663.085205	1.720303	1.294898
664.67218	1.73633	1.300436
666.259094	1.752051	1.305624
667.846008	1.767513	1.310483
669.432861	1.782736	1.314976
671.019653	1.797684	1.319068
672.606445	1.8123	1.322744
674.193237	1.826508	1.326004
675.779907	1.840212	1.328865
677.366577	1.853284	1.331368
678.953247	1.865534	1.333629
680.539856	1.876853	1.335945
682.126343	1.887308	1.3386
683.712891	1.89703	1.341814
685.299377	1.906196	1.345765
686.885803	1.915018	1.350591
688.472168	1.923759	1.356387
690.058533	1.932759	1.363162
691.644836	1.942335	1.370692
693.231079	1.952582	1.37871
694.817322	1.963511	1.387009
696.403442	1.975093	1.395421
697.989624	1.987262	1.40381
699.575684	1.999923	1.412071
701.161743	2.012942	1.420136
702.747742	2.026137	1.428047
704.333679	2.039446	1.435953
705.919556	2.052893	1.443966
707.505493	2.066537	1.452171
709.091248	2.080455	1.460631
710.677002	2.094743	1.469386
712.262756	2.10952	1.478461
713.848389	2.124931	1.487848
715.434021	2.14113	1.497452
717.019592	2.158191	1.507144
718.605103	2.176153	1.516818
720.190552	2.195044	1.526378
721.776001	2.214887	1.535736
723.361389	2.235709	1.54481
724.946655	2.257541	1.553513
726.531921	2.280442	1.561748
728.117126	2.304464	1.569337
729.702271	2.329567	1.576081
731.287415	2.355667	1.581822
732.872437	2.382663	1.586429
734.457458	2.410446	1.589792
736.042419	2.438902	1.591818
737.627319	2.467911	1.592428
739.212158	2.497359	1.591556
740.796936	2.527124	1.589133
742.381653	2.557076	1.585093
743.966309	2.587062	1.579381
745.550903	2.616924	1.571959
747.135498	2.646494	1.562795
748.719971	2.675586	1.551873
750.304443	2.703998	1.539188
751.888794	2.731489	1.524751
753.473145	2.757743	1.508632
755.057373	2.782454	1.491108
756.641602	2.805517	1.472489
758.225708	2.82689	1.453038
759.809814	2.84657	1.432976
761.39386	2.864572	1.412504
762.977783	2.880924	1.391804
764.561646	2.895665	1.371041
766.145508	2.908839	1.350374
767.729309	2.920491	1.329953
769.313049	2.930679	1.309951
770.896667	2.939493	1.290531
772.480225	2.947047	1.271849
774.063782	2.953473	1.254042
775.647217	2.958922	1.237246
777.230591	2.963571	1.22158
778.813904	2.967629	1.207151
780.397156	2.971349	1.194048
781.980347	2.975078	1.182314
783.563538	2.979215	1.171771
785.146606	2.983953	1.162118
786.729553	2.989377	1.153096
788.3125	2.995516	1.144472
789.895325	3.002357	1.136038
791.478149	3.009855	1.127602
793.060852	3.017931	1.118995
794.643433	3.026471	1.110064
796.226074	3.035318	1.100676
797.808533	3.044222	1.090773
799.390991	3.052979	1.080471
800.973328	3.061508	1.069908
802.555664	3.069782	1.059196
804.137817	3.077802	1.048435
805.720032	3.085591	1.037713
807.302124	3.093194	1.02711
808.884094	3.100675	1.016695
810.466003	3.108123	1.006528
812.047852	3.115662	0.996655
813.629639	3.123486	0.987072
815.211304	3.13176	0.977625
816.792969	3.140536	0.968147
818.374512	3.149824	0.958491
819.955933	3.159606	0.948523
821.537415	3.169845	0.938119
823.118774	3.180483	0.927168
824.700012	3.191448	0.915565
826.281128	3.202649	0.903216
827.862183	3.213974	0.890036
829.443237	3.225274	0.875953
831.024109	3.236365	0.860982
832.60498	3.247134	0.845184
834.18573	3.257501	0.828613
835.766418	3.267398	0.811315
837.347046	3.27677	0.79333
838.927612	3.28556	0.774697
840.507996	3.293715	0.755452
842.088379	3.301183	0.735624
843.66864	3.307903	0.715245
845.24884	3.313803	0.694343
846.828979	3.31878	0.672959
848.408997	3.322718	0.65121
849.988953	3.325568	0.629238
851.568848	3.327317	0.607179
853.148621	3.327968	0.585159
854.728333	3.327542	0.5633
856.307922	3.326074	0.541717
857.88739	3.323614	0.520523
859.466797	3.320225	0.499827
861.046204	3.315993	0.479731
862.625488	3.311026	0.460341
864.20459	3.305485	0.441754
865.783691	3.2996	0.423968
867.362671	3.293524	0.406879
868.941589	3.287343	0.390387
870.520386	3.281112	0.374396
872.099121	3.274868	0.358818
873.677734	3.268626	0.343564
875.256226	3.262388	0.328552
876.834778	3.25614	0.313701
878.413086	3.249852	0.298933
879.991394	3.243476	0.284173
881.569519	3.236938	0.269346
883.147644	3.23011	0.254388
884.725586	3.222822	0.239336
886.303528	3.214974	0.224293
887.881348	3.206516	0.209358
889.458984	3.197421	0.194631
891.036621	3.187677	0.180204
892.614136	3.177288	0.166169
894.191589	3.166273	0.15262
895.76886	3.154663	0.139647
897.346069	3.142502	0.12734
898.923218	3.129853	0.115791
900.500305	3.1168	0.105091
902.077271	3.103465	0.09533
903.653992	3.090045	0.086544
905.230774	3.076692	0.078663
906.807434	3.063505	0.071614
908.383972	3.050558	0.065321
909.960327	3.037907	0.059713
911.536743	3.025594	0.054715
913.112976	3.013655	0.050257
914.689087	3.002111	0.046268
916.265137	2.990975	0.042675
917.841003	2.980251	0.03941
919.41687	2.96993	0.0364
920.992554	2.959993	0.033577
922.568237	2.950398	0.030872
924.143738	2.941071	0.028248
925.719116	2.93196	0.025709
927.294556	2.923033	0.023261
928.869751	2.914267	0.020912
930.444824	2.905646	0.018668
932.019836	2.897157	0.016535
933.594604	2.888791	0.014519
935.169434	2.88054	0.012626
936.744141	2.872401	0.010863
938.318726	2.864371	0.009234
939.893188	2.856452	0.007747
941.467468	2.848644	0.006406
943.041809	2.840953	0.005216
944.615906	2.833393	0.004183
946.189941	2.825975	0.0033
947.763855	2.818708	0.002556
949.337585	2.811597	0.001944
950.911316	2.804644	0.001453
952.484985	2.797853	0.001075
954.058411	2.791224	0.0008
955.631714	2.78476	0.000619
957.204956	2.778459	0.000523
958.778137	2.772321	0.000503
960.351196	2.766345	0.000551
961.924011	2.76053	0.000657
963.496887	2.754872	0.000812
965.069519	2.749369	0.001009
966.64209	2.744016	0.001239
968.214539	2.738806	0.001495
969.786926	2.733737	0.001773
971.35907	2.728803	0.002068
972.931274	2.724	0.002374
974.503235	2.719324	0.002687
976.075073	2.714772	0.003002
977.64679	2.710339	0.003314
979.218445	2.706021	0.003619
980.789917	2.701812	0.003912
982.361328	2.697708	0.004188
983.932617	2.693703	0.004444
985.503784	2.689792	0.004673
987.074829	2.685968	0.004873
988.645691	2.682222	0.005039
990.216492	2.678545	0.005168
991.787231	2.674923	0.005262
993.357727	2.67135	0.005325
994.928223	2.66782	0.005361
996.498413	2.664328	0.005375
998.068665	2.66087	0.00537
999.638794	2.657443	0.00535
1012.848328	2.62958	0.005107
1016.217773	2.622764	0.005173
1019.587708	2.616115	0.005315
1022.958313	2.609644	0.005516
1026.329468	2.603355	0.005758
1029.701294	2.597246	0.006024
1033.073608	2.59131	0.0063
1036.446533	2.585536	0.006568
1039.82019	2.579905	0.006815
1043.194336	2.574387	0.007034
1046.569092	2.568959	0.00724
1049.944458	2.563609	0.007448
1053.320435	2.558331	0.007672
1056.697021	2.553122	0.007927
1060.074097	2.547985	0.008226
1063.451904	2.542927	0.008583
1066.8302	2.537962	0.009012
1070.209106	2.533119	0.009513
1073.588623	2.528416	0.010069
1076.96875	2.523863	0.010659
1080.349487	2.51946	0.011264
1083.730835	2.515206	0.011866
1087.112793	2.511093	0.012444
1090.495239	2.507113	0.012983
1093.878418	2.503246	0.013463
1097.262085	2.499469	0.013872
1100.646362	2.49575	0.014215
1104.03125	2.492071	0.014503
1107.416748	2.488421	0.014749
1110.802856	2.484791	0.014965
1114.189575	2.481176	0.015164
1117.576904	2.477574	0.015355
1120.964722	2.473984	0.015551
1124.353271	2.470409	0.015761
1127.74231	2.466856	0.015995
1131.131958	2.463332	0.016255
1134.522217	2.459842	0.016541
1137.913086	2.456391	0.016854
1141.304565	2.45298	0.017193
1144.696533	2.449613	0.01756
1148.089233	2.446293	0.017953
1151.482544	2.443023	0.018375
1154.876343	2.439807	0.018824
1158.270752	2.436653	0.0193
1161.665771	2.433569	0.019799
1165.061523	2.430561	0.02031
1168.457764	2.427628	0.020824
1171.854492	2.424771	0.02133
1175.251953	2.421986	0.021822
1178.650024	2.41927	0.022288
1182.048584	2.416616	0.022722
1185.447876	2.414017	0.023114
1188.847656	2.411462	0.023457
1192.248047	2.408934	0.023744
1195.649048	2.406412	0.02398
1199.050537	2.403884	0.024179
1202.452881	2.401342	0.024352
1205.855591	2.398784	0.024511
1209.259033	2.396206	0.024668
1212.662964	2.393612	0.024833
1216.067627	2.391003	0.025018
1219.472778	2.388385	0.025234
1222.87854	2.385766	0.025489
1226.284912	2.383158	0.025795
1229.691772	2.380585	0.026153
1233.099365	2.378062	0.026554
1236.507568	2.375598	0.026984
1239.91626	2.373199	0.027432
1243.325562	2.370866	0.027886
1246.735596	2.3686	0.028334
1250.146118	2.366398	0.028766
1253.557251	2.364256	0.02917
1256.968994	2.362168	0.029536
1260.381226	2.360126	0.029854
1263.794189	2.358118	0.030115
1267.207764	2.356123	0.030314
1270.621826	2.354124	0.030457
1274.036499	2.35211	0.030555
1277.451904	2.350075	0.030617
1280.867676	2.348015	0.030652
1284.28418	2.345925	0.030668
1287.701294	2.343805	0.030674
1291.119019	2.341654	0.030678
1294.537354	2.339474	0.030688
1297.956177	2.337266	0.030712
1301.37561	2.335035	0.030757
1304.795654	2.332787	0.030831
1308.216431	2.330531	0.030936
1311.637573	2.328276	0.031072
1315.059448	2.326025	0.031236
1318.481934	2.323784	0.031426
1321.905029	2.321554	0.031641
1325.328613	2.319337	0.031878
1328.752808	2.317136	0.032135
1332.177734	2.314952	0.032411
1335.603149	2.312786	0.032704
1339.029175	2.310639	0.033012
1342.455811	2.308512	0.033334
1345.883057	2.306405	0.033668
1349.310791	2.304319	0.034012
1352.739258	2.302253	0.034365
1356.168213	2.300207	0.034726
1359.5979	2.298182	0.035094
1363.028076	2.296178	0.035468
1366.45874	2.294195	0.035846
1369.890259	2.292231	0.036228
1373.322144	2.290288	0.036612
1376.754761	2.288365	0.036998
1380.187866	2.286462	0.037384
1383.621704	2.284578	0.03777
1387.05603	2.282713	0.038155
1390.490967	2.280867	0.038537
1393.926514	2.279038	0.038916
1397.362671	2.277227	0.039292
1400.799438	2.275432	0.039663
1404.236816	2.273653	0.04003
1407.674683	2.271889	0.040392
1411.113281	2.27014	0.040749
1414.552368	2.268406	0.0411
1417.992065	2.266686	0.041445
1421.432373	2.26498	0.041784
1424.873291	2.263287	0.042116
1428.314819	2.261608	0.04244
1431.756958	2.259941	0.042758
1435.199585	2.258288	0.043068
1438.642944	2.256647	0.04337
1442.086792	2.255019	0.043663
1445.531372	2.253407	0.043948
1448.976318	2.251808	0.044221
1452.422119	2.250224	0.04448
1455.868408	2.248654	0.044724
1459.315186	2.247097	0.04495
1462.762695	2.24555	0.045157
1466.210693	2.244013	0.045342
1469.659424	2.242483	0.045503
1473.108643	2.240958	0.045638
1476.55835	2.239436	0.045747
1480.008911	2.237912	0.045826
1483.459839	2.236384	0.045875
1486.911499	2.234848	0.045891
1490.36377	2.233298	0.045874
1493.81665	2.231727	0.045821
1497.27002	2.230126	0.045733
1500.723999	2.228484	0.045616
1504.178589	2.226797	0.04548
1507.633789	2.22506	0.045332
1511.0896	2.223273	0.045181
1514.546021	2.221433	0.045033
1518.00293	2.219542	0.044897
1521.460571	2.217601	0.04478
1524.918701	2.21561	0.044689
1528.377441	2.213574	0.044632
1531.836792	2.211494	0.044614
1535.296753	2.209376	0.044644
1538.757324	2.207225	0.044727
1542.218506	2.205046	0.044869
1545.680176	2.202847	0.045078
1549.142456	2.200637	0.045358
1552.605469	2.19843	0.045716
1556.06897	2.196241	0.046148
1559.533081	2.194083	0.046649
1562.997803	2.191963	0.047209
1566.463135	2.189886	0.047823
1569.928955	2.187858	0.048483
1573.395508	2.185881	0.049183
1576.862549	2.183959	0.049914
1580.330322	2.182092	0.050672
1583.798584	2.180284	0.05145
1587.267456	2.178532	0.052241
1590.736938	2.176839	0.053039
1594.207031	2.175203	0.053838
1597.677612	2.173623	0.054633
1601.148926	2.172097	0.055417
1604.62085	2.170623	0.056186
1608.09314	2.169196	0.056933
1611.566162	2.167814	0.057654
